Page Name,User Name,Facebook Id,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,URL,Message
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-31,05:32:30,Photo,25412,15884,7495,707,53,75,245,19,802,132,https://www.facebook.com/100044017724738/posts/565099208300665,澄清！這是疫情假訊息！ 請大家注意，網路謠傳「孩童燒到41度才准收治」等言論，完全是捏造的假訊息，指揮中心也已經澄清說明： 1️⃣患者是否收住院係依專家指引，並尊重醫生臨床判斷，我不會、也不能、更沒有下令。 2️⃣孩童並非燒到41度才可就醫收治。 疫情期間，我們了解家長都很擔心孩童染疫，包括醫護、政府單位都持續努力強化醫療量能，保護孩童，有心人士卻藉機對疫情造謠，試圖造成社會對立，破壞大家的努力，我要給予強烈譴責。 我也想請大家一起幫忙，多留意網路訊息的來源，不要隨意轉傳，尤其是疫情的資訊務必以指揮中心發布為主。大家團結努力，就可以減少恐慌和對立，一起挺過疫情的關鍵階段，我們繼續加油。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-31,02:58:28,Photo,20587,16329,2895,336,213,6,72,10,526,200,https://www.facebook.com/100044017724738/posts/565032074974045,我們除了密切掌握疫情的狀況，也持續推動各項政務的發展。 今天，我在總統府接待美國達克沃絲參議員Tammy Duckworth 的訪團，在去年六月台灣疫情升溫，她曾和其他參議員特別搭乘專機訪問，並帶來美國政府將提供台灣疫苗的消息。 當時，達克沃絲參議員說，「美國不會讓台灣孤軍奮戰」，這句話都讓我們很感動。台灣和美國是彼此在印太區域重要的經濟和安全夥伴，我們共同對抗疫情，也一起捍衛民主自由。 去年七月，達克沃絲參議員領銜提出的 #台灣夥伴法案，獲得跨黨派的支持，也因此美國國防部正積極研議國民兵跟台灣的合作交流。最近，達克沃絲參議員也進一步提出法案，支持美軍的印太部署要優先因應台灣安全情境。 對於美國政府所倡議的「印太經濟架構」（IPEF），台灣會持續向美國政府表達參與意願，而我們也期待在短期內，台美將以嶄新的作為，一起規劃出具體的途徑，共同深化台美雙邊的經貿夥伴關係。 就在上週，美國拜登總統和日本岸田首相，在會談後發表聯合聲明，重申台海和平穩定的重要性。前幾天，美國布林肯國務卿的演說，也再次強調，維護台海和平穩定，對全球安全和繁榮至關重要。 藉今天的機會，除了感謝達克沃絲參議員，多年來關注台灣安全議題，我也要感謝美國，對台海和平穩定的重視，以及在這個月的世界衛生大會為台灣發聲。 今天訪團的來訪，再次展現台美堅若磐石的情誼，我們繼續攜手努力，提升台美關係！
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-30,22:56:37,Live Video Complete,11253,5150,4021,335,779,15,47,21,775,110,https://www.facebook.com/100044017724738/posts/398746162165734,"大家早安！稍後我將在總統府內，接見美國聯邦參議員達克沃絲（Tammy Duckworth, D-IL）訪團。歡迎大家一起加入直播！"
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-30,22:30:10,Photo,16045,13028,1957,218,139,3,54,5,519,122,https://www.facebook.com/100044017724738/posts/564909788319607,"稍後 11:00 我將在總統府內，接見美國聯邦參議員達克沃絲（Tammy Duckworth, D-IL）訪團。除了感謝達克沃絲參議員去年6月訪台，代表美國政府宣布捐贈台灣疫苗外，我們也將就區域安全、經貿合作及台美關係等各項議題交換意見。邀請大家一起加入直播。"
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-30,21:53:56,Status,38148,18992,4191,237,267,295,42,9921,509,3694,https://www.facebook.com/100044017724738/posts/564890928321493,大家稍早可能都看到新聞了，一架AT-3教練機於高雄岡山基地起飛執行訓練任務時發生事故，雖搜救團隊即刻展開救援任務，很遺憾的是，駕駛飛官徐大鈞少尉已尋獲但不幸殉職。 一早接獲這樣的訊息，令人難過不捨。對於國軍弟兄不幸殉職，我已經指示國防部，徹底釐清事故原因，並全力協助飛官家屬處理後續事宜。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-30,06:27:28,Photo,29352,17084,8076,459,212,15,89,49,2196,1172,https://www.facebook.com/100044017724738/posts/564407735036479,我知道家長都很擔心家裡的小孩有染疫的狀況，為了和家長共同守護孩子的健康，我們持續透過以下措施，強化兒童防疫量能。 今天，#輝瑞兒童疫苗 已經到貨33.12萬劑，累積到目前為止，一共有110.88萬劑。目前，台灣5-11歲的小朋友有99萬符合接種對象，所以 #疫苗數量相當充足。 為了加快兒童接種的速度，指揮中心也即將協助地方政府，#設置大型的兒童接種站。我們也會視接種情形，額外增加疫苗配送，希望盡快讓更多小朋友都能得到疫苗的保護。 至於0-6歲的小小孩，目前還沒有疫苗可以施打，也更需要格外的關注和照顧，所以從6/1開始，0-6歲兒童可以免費領每人5劑的實名制快篩試劑。 因為快篩試劑，只有2歲以上的兒童可以使用，所以假如家裡有未滿2歲的幼童，領到的快篩可供幼童家長使用。保護自己，也能同時保護家人。 感謝所有家長共同努力，在疫情關鍵的時刻，政府會繼續強化各項防疫措施，和大家一起守護孩子的健康。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-27,22:00:03,Photo,59203,18535,27500,651,219,45,248,120,11541,344,https://www.facebook.com/100044017724738/posts/562251778585408,面對疫情，爸爸媽媽除了擔心自己染疫，也更擔心小孩染疫，而且要照顧家中確診小孩，更是辛苦。我們除了強化兒童防疫量能，也希望提供兒童防疫資訊，協助爸爸媽媽參考，緩解大家的疑慮。 在這一集podcast，我們特別邀請台大兒童醫院小兒部主治醫師、指揮中心專家小組諮詢委員 #李秉穎 醫師，進一步向大家仔細的說明。 李秉穎醫師提到，從臨床經驗來看，兒童感染大多為輕症，只要家長持續觀察孩子的狀況若維持穩定，則不需要過度驚慌。但持續觀察下若有就醫警訊，例如出現發燒、呼吸困難、意識不清的情況，就一定要盡快帶孩子去醫院。 部分民眾和家長對接種疫苗仍有疑慮，李秉穎醫師也告訴大家，政府及專家小組都會即時追蹤疫苗接種，不良反應的相關數據、疫苗的安全性有科學證據佐證，並提醒大家，不論成人、青少年和兒童，都應完整接種疫苗，對整體國人來說，絕對是對防疫最好的保障。 他更說到，我們要減少社會對立，用更客觀的方式來看待防疫，才會更有幫助。 這段時間，我也一直強調，面對疫情，中央地方要攜手合作，共同為人民解決問題。此外，最重要的，還是大家盡快打滿三劑疫苗，保護自己也保護他人！ 馬上收聽： ＊Apple ：https://reurl.cc/951yda ＊Spotify：https://reurl.cc/6DLe2M ＊KKBOX：https://kkbox.fm/0t0h3i:=:https://podcast.kkbox.com/tw/channel/WtwXuB-LQPASTI56dM ＊Google：https://reurl.cc/kLn6QG ＊Firstory：http://dpppodcast.firstory.io:=:https://dpppodcast.firstory.io/
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-27,01:38:10,Photo,30698,13660,9521,393,163,18,110,83,5668,1082,https://www.facebook.com/100044017724738/posts/562073621936557,最近，5-11歲的兒童疫苗，在各地陸續開放接種，許多家長為了讓小孩盡快提升保護力，等不及在學校施打，也有許多爸媽在診所外排隊，甚至跨縣市預約。 為了讓大家不要排隊那麼久，指揮中心已經協調各縣市衛生局，將原本預留在學校施打的部分疫苗先釋出、分配到各醫療院所，盡快滿足家長們的需求。 保護孩子是最重要的事情，疫苗數量絕對足夠，請家長放心。今天，行政院也宣布，6/1起，0至6歲孩童可領5劑免費的快篩試劑，再請大家留意相關發放資訊。 謝謝家長陪伴孩子一起接種疫苗，政府會努力扮演好家長的隊友，一起把孩子照顧好。 ➡️快篩陽性怎麼辦？友善整合資訊網：https://reurl.cc/mox4XW
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-26,02:53:42,Photo,29228,17632,6473,556,229,15,100,39,2841,1343,https://www.facebook.com/100044017724738/posts/561446325332620,這段時間為了防疫，大家真的辛苦了。 我了解有些朋友因為自主防疫，減少出門活動，也有更多朋友因為確診、隔離無法出門，因此影響生活，甚至是工作生計。 人潮減少也代表餐飲業、觀光業，甚至是運輸業的生意難免受到影響。我想請大家放心，面對這波疫情的挑戰，政府也一定會協助大家挺過。 今天，行政院公布新一波振興措施，透過 #助產業/#護勞工 、#減負擔、 #穩金流 三大方向，來協助因為疫情受影響的產業以及勞工。 在這波疫情，餐飲業以及觀光業首當其衝，政府透過經費補助，鼓勵業者推動餐飲促銷、觀光旅遊方案，也鼓勵大家正常生活，振興消費。 製造業雖然不受影響，但仍有少部分業者有減班休息措施，政府也會對這些行業的員工進行補助，度過難關，並透過 #減稅、#減收經費 以及 #凍漲 等措施，減輕業者營業成本，以及民眾的生活負擔。 我們也會延長紓困振興貸款、補貼貸款利息，穩定受影響業者的金流，一般民眾也可以緩繳信用卡帳單及貸款3至6個月。 我也想跟大家說，除了這些措施，最重要的就是保持戰勝疫情的信心。過去兩年來，面對更艱鉅的挑戰，經過振興補助，以及國人的團結努力，我們仍然可以創下台灣經濟11年新高。 現在，在疫情的關鍵時刻，我們也一定可以挺過去，不論是防疫或民生經濟，政府會當大家的後盾，我們一起加油。 ➡️餐飲業者申請行銷補助：https://moeadsc.tw/zh-tw/
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-25,05:50:37,Photo,23379,16170,4875,483,168,11,76,14,1356,226,https://www.facebook.com/100044017724738/posts/560848452059074,你家的阿公、阿嬤打疫苗了嗎？ 我們的第三劑疫苗覆蓋率來到64.55%，第一劑、第二劑也都已經超過80%。 我知道，還有很多長輩覺得自己待在家的時間比較多，就沒有去打疫苗。我要跟大家說，打疫苗可以預防中重症，對保護長輩真的很重要。 如果阿公、阿嬤有打疫苗，年輕人在外工作、移動，回家後也可以降低傳染給長輩的風險。 所以，我要拜託大家，如果家中的長輩還沒有打疫苗，一句叮嚀，打通電話，關心長輩，請他們去打疫苗。 現在為了鼓勵長輩打疫苗，6/30前，65歲以上長輩去打疫苗，就能獲得中央配發的#兩劑快篩。 目前兒童疫苗也已經開打，為了強化兒童醫療量能，指揮中心也宣布，擴大兒童專責病床至887床，以及專責ICU為108-165床，讓孩子可以獲得必要照護。 小孩、長輩我們都一起顧好。這段期間，為了防疫，大家都辛苦了。政府會持續改善各項防疫工作，攜手挺過疫情的關鍵時刻。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-25,02:04:38,Native Video,21280,14271,4405,363,246,10,81,19,1611,274,https://www.facebook.com/100044017724738/posts/560742078736378,昨天我去完 臺北榮民總醫院，感受很深，北榮醫護的使命感讓人難忘，我也相信只要我們繼續堅持努力，我們一定可以打敗病毒。 打敗病毒當然也需要中央和地方的聯手合作。目前，我們在台北市的自由廣場、台大醫學院體育館，松山機場成立大型篩檢站。除了自由廣場篩檢站設立才五天，採檢就破萬人。其中， #松山機場篩檢站一天的PCR採檢能量可達2000人，並提供採檢、看診、領藥的三合一服務，具體緩解民眾的各項需求。 黃珊珊副市長昨天也提到北榮負責的自由廣場車來速篩檢站「效率非常高，而且市民滿意度非常大」。 柯文哲 市長也肯定，北市三個車來速篩檢站，以及松山機場篩檢站，相當有效解決醫院急診壓力。 我們繼續一起努力，為大家解決問題，守護健康。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-24,07:52:48,Photo,36081,28510,4958,549,419,11,85,17,1063,469,https://www.facebook.com/100044017724738/posts/560217308788855,下雨天來到台北榮總，我只有萬分的感謝。 謝謝 臺北榮民總醫院 團隊在第一線幫助民眾做PCR檢測、給藥。就在前天，北榮所負責的自由廣場車來速篩檢站，設立才五天，就採檢了超過一萬人。這背後都是同仁們辛苦的付出。 今天，我們也在現場看到辛苦的PCR採檢工具分裝及包藥作業。在大家的通力合作下，提升了篩檢量，縮短了民眾的篩檢時程，守護民眾的健康。 北榮團隊的效率令人敬佩，同仁投入的精神，更令人感動。我也代表全體台灣人民，再次向北榮團隊說聲謝謝，辛苦了。 中央和地方攜手防疫，今天 黃珊珊 副市長也和我們一起來到北榮，關心防疫前線的同仁，我也祝福現正居隔中的 柯文哲 市長，能早日康復。 在中央和地方合作之下，我們共同在台北市增設了自由廣場、台大醫學院體育館，還有松山機場的篩檢站，這都對緩解民眾PCR的需求，發揮相當的效果。我們也會持續攜手合作，解決問題。 最後，我也特別感謝護理師朋友的付出。護理師對病人的照顧，對病人、家屬來講，那是一輩子都記得的事情。 我們會給醫護同仁以及防疫夥伴最大的支持，一起繼續加油，為戰勝疫情來努力。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-24,00:54:13,Link,7373,4085,2066,103,58,2,35,5,732,287,https://www.facebook.com/100044017724738/posts/560032165474036,
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-23,23:52:02,Photo,17186,13704,2343,337,172,7,31,6,471,115,https://www.facebook.com/100044017724738/posts/560003905476862,在全國努力應對疫情挑戰的同時，有一群學生運動員，代表台灣，在法國剛落幕的諾曼第世界中學運動會，勇奪24金17銀28銅的好成績，排名第五，創歷屆參賽最佳名次！ 我要謝謝大家，在疫情下，大家用最好的表現，讓世界看見台灣；選手能有好表現，也要謝謝體育署、衛福部、外交部以及教練團等共同投入，協助代表團成員出國比賽，也在返國後，持續提供相關的醫療及關懷照顧。 疫情期間出國比賽，選手們都辛苦了，好好休息，我們會全力提供必要照顧，希望確診選手都能早日康復。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-22,10:00:39,Photo,31419,19386,5785,544,649,26,31,3799,577,622,https://www.facebook.com/100044017724738/posts/558885098922076,在美西時間這個週日的上午， 蕭美琴 Bi-khim Hsiao 大使將代表我到爾灣的教會，出席追思鄭達志醫師的禮拜，對於鄭醫師的犧牲，我要再次表達，我和全體台灣人民最深的哀悼與敬意。 鄭達志醫師就如同所有認識的朋友肯定的，他是一位視病猶親、傑出專業的好醫生，是一位社區當中，無私投入各項公共服務的台灣青年，更是台美人社團裡，暖心付出的好夥伴。 這次的槍擊案中，鄭醫師用自己的身軀攔下凶嫌的子彈，用自己的生命阻止了可怕的屠殺，正如聖經上說「凡為我捨棄了生命，必救了生命！」我相信在每個人的心目中，鄭醫師的犧牲是台灣人秉性正直、善良，勇敢行義的最好見證，這個見證會永遠留在我們的生命當中。 相較於鄭醫師的勇敢與犧牲，只因為意識形態不同，就訴諸暴力、傷害生命的行為，更顯得不堪而渺小，台灣作為民主國家的一員，我們譴責這樣的罪行，更會努力杜絕這樣的事情再度發生。 為了確保在美國鄉親的安全，我已經請外交部、駐美代表處，洽請美方務必保護在地的台灣人，並請美琴向鄉親們表達關心。 我也要向台美人鄉親說，感謝各位在海外一直為故鄉打拚的精神，在台灣的我們和你們都在一起，心連心，讓我們互相照看與關心。 此時此刻，我們需要團結彼此，拒絕仇恨與暴力。我們更要集結最大的能量，為鄭醫師所摯愛的家人，帶來溫暖的力量與支持。 讓我們記住鄭醫師的無私與勇敢，一起為台灣的美好來努力。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-21,23:19:14,Photo,29262,19336,6647,566,217,26,286,23,1746,415,https://www.facebook.com/100044017724738/posts/558553835621869,防疫最後關鍵時刻，民眾期待的是我們攜手解決問題，中央地方都要一起來合作，互相補位把防疫工作做得更好。 我相信不論中央或地方的行政團隊，都在為防疫打拚。這個週四 ，對於兒童醫療的部分，我打電話給台大的吳明賢院長，希望在兒童醫療的部分，能夠擴大量能。同時我也打給新北市醫師公會的羅浚晅醫師，一方面感謝新北基層的醫療人員，能夠投入醫療的工作，也再次拜託羅醫師，在新北市基層醫師的部分再協調一些力量，來投入居家照護、遠距問診、第一線篩檢站服務的工作。 我也要跟要跟大家分享，前副總統 陳建仁 Chen Chien-Jen大仁哥是公衛專家、中研院院士。隨著本土確診數增加，我們特別邀請陳前副總統再次拍攝五支「大仁哥親解2.0」短片。包括 #正確與病毒共存 #該如何就診服藥 #解封前的準備 #孩子染疫怎麼辦 #台灣防疫成績。 陳前副總統透過專業的分析，來解釋這波Omicron疫情的狀況，請大家盡快打滿三劑疫苗，積極配合指揮中心，我們要一起落實防疫，發揮互相合作、彼此包容的精神，不久的將來，我們就能恢復正常生活。 🔗影片連結：https://reurl.cc/g26ZOQ
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-20,23:33:11,Native Video,18650,9675,6320,419,209,10,100,19,1722,176,https://www.facebook.com/100044017724738/posts/557860882357831,＃民主台灣世界相挺 我常透過推特向世界各國的朋友傳達台灣的聲音，透過共享民主自由價值的重要理念，全世界許多重要的國際夥伴都和台灣站在一起！ 過去一年來，推特上也發生了無數重要的事件。面對烏克蘭，台灣民眾用積極的行動與捐款支持烏克蘭，因為我們對民主的堅持一樣感同身受。從去年到現在，包括美國、歐洲議會、波羅的海三國訪團等歐洲國家訪團，以及三個友邦，也都親自來台表達對台灣的堅定支持。台灣也和日本及美國等國家，互相提供重要防疫物資，共同對抗疫情，這就是患難見真情。 台灣有能力也有意願貢獻國際世界，感謝眾多國家發聲支持台灣參與ＷＨＡ，我們會繼續和世界重要支持民主夥伴堅定攜手相挺！
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-20,08:58:22,Photo,35083,21325,9356,543,375,22,162,38,2779,483,https://www.facebook.com/100044017724738/posts/557410805736172,在這兩天，我分別前往新竹、桃園的防疫前線，為參與防疫的同仁加油打氣，也要再次感謝全國所有第一線的防疫工作夥伴。 去年的五月，我們也面臨疫情的嚴峻挑戰，感謝當時全體國人團結防疫，政府民間共同協力，我們才能挺過當時的難關。 回顧過去這六年來，我們更共同經歷了國際政經情勢的變化、外部威脅的增加、全球疫情的流行，以及天然災害的威脅。 在這些挑戰之下，我們持續一起努力推動了經濟結構轉型，也逐步落實能源轉型。在全球供應鏈重組的關鍵時刻，台灣人民也共同展現了強化國際經貿鏈結的決心。 我們的經濟表現，能夠在疫情當中逆勢穩定成長，也持續強化各項社會福利及照顧，我要感謝執政團隊的所有夥伴，也要感謝堅守在每個崗位上的同仁，更要感謝全體國人，這些都是全體國人共同努力的成果。 在此，我也要感謝國軍弟兄姊妹，夜以繼日保衛國家安全的同時，也投入國防改革，提升戰力，讓國家安全更鞏固。 在民主台灣，社會有不同的看法，有政黨之間的競爭，也有疫病或災害帶來的不安，但總體而言，台灣人民是善良、理性，更以團結的精神面對各種挑戰，讓國家可以關關難過，關關過。作為國家領導人，我要深深的感謝台灣人民。 接下來的兩年任期，執政團隊會持續地，全方位建構更有韌性的國力。我相信，只要我們沉著冷靜、團結一致，無論是再艱難的挑戰，台灣一定能夠克服逆境，安然度過，自信地迎向未來。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-20,07:05:04,Photo,17379,10951,3465,280,145,13,61,24,1704,736,https://www.facebook.com/100044017724738/posts/557341485743104,今天我和 鄭文燦市長在桃園，看到很多里長和里幹事，平常在社區積極宣導防疫，當民眾遇到任何防疫的問題，也都是第一個找他們協助處理。當確診者不能出門，里長和里幹事也會代為領取防疫包。 這一群人幾乎是全天候待命，在第一線協助民眾落實防疫工作，真的是非常辛苦。感謝所有辛苦的里長、里幹事們，他們是防疫工作中不可或缺的重要角色。 現在是疫情的最後關鍵階段，中央和地方更應該要同心防疫，攜手強化執行防疫四大重點工作: 1️⃣持續滿足PCR篩檢量能的需求 目前北北基桃已經成立8個大型篩檢站，最快在明天，三總也即將在松山機場的大客車停車場，增加一個大型篩檢站，提供篩檢、看診、領藥三合一服務。未來會視疫情發展，持續增加開設三合一服務的篩檢站。 2️⃣設置 #關懷中心 給予確診者更多支持 我知道，網路上有許多曾經確診的朋友組成 #康復者聯盟，分享自己的經驗，協助身邊的朋友，度過不安的心情。 透過落實「同事互助，同業互助」的精神，能讓確診者更快速得到需要的協助，減低他們的不安，也能進一步減輕醫護和第一線防疫人員的負擔。 3️⃣全面提升兒童醫療量能 目前全國各縣市，共有108家醫院、診所或衛生所，已經設置兒童就醫的綠色通道，優先照顧兒童。我們也會強化轉診協調，務求一步到位，讓重症兒童可以在最短的時間，獲得更妥適的醫療照顧。 為了提升重症兒童照護量能，我們會在全國的兒童醫院、醫學中心及重度級急救責任醫院，預計加開約100張兒童專責加護病床，也協調各醫院加開兒童專責病房區，後續總計可以達到約750張病床 ，來負責收治6歲以下兒童。 我要特別感謝台大醫院，將它的兒童醫院三分之一的量能，優先投注6歲以下兒童的照顧上，同時也協調台大醫院新竹分院提升量能。 4️⃣持續提升疫苗覆蓋率 現在疫苗供應非常充足，請大家都能盡快去打滿三劑疫苗。我也要呼籲，65歲以上的長者，還有符合接種資格的朋友，盡速去接種第四劑。 現在，面臨疫情最後的關鍵時刻，我們更要同心防疫，尤其是中央地方，積極協調，共同配合，我們一定能度過這波疫情的考驗。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-20,02:20:58,Photo,11708,6538,3338,165,96,7,29,12,1371,152,https://www.facebook.com/100044017724738/posts/557190432424876,國中會考防疫指引，請同學來注意！ 明天就是國中會考，因應疫情，我們會加強考場內外部環境清消，並且降載試場的人數、維持適度的通風等防疫工作， 教育部 也公布防疫措施，要請各位同學一起來注意： 🔺全程佩戴口罩，進入考場前量測體溫，各試場會管制進出動線，並且不開放家人親友陪考 🔺居家隔離者、自主檢疫者、居家檢疫者，及現場發燒者：安排至第二類備用試場進行考試 🔺確診者，快篩陽性、或快篩陽性尚未收到PCR結果者：不能參與5/21的考試，將參加6/4-5的補考，補考不會影響升學權益 隨著確診人數增加，各位考生及家長的心情可能多少會受影響。政府已全面提升考場的防疫措施，維護考生的健康安全，請大家安心應試。 我也要祝福所有考生，考試順利，大家都能考上自己理想的學校。 ▶️詳細資訊看這邊：https://urli.ai/upM1AsFn
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-20,00:11:43,Photo,24540,13000,7738,349,185,13,111,32,2773,339,https://www.facebook.com/100044017724738/posts/557119172432002,從基層到國際，謝謝大家一起拚防疫與公衛！ 昨天，在居家照護關懷中心，我看了一段影片讓我非常感動，在基層的衛生局科長和她的孩子，雖然因為防疫犧牲許多相處的時間，但是母子之間的感情不會因此而減少，孩子童言童語，希望媽媽多陪伴的真摯，更讓我們必須要為下一代努力，打贏這一場和病毒的戰役。 在國際上，即將舉型的WHA，台灣依然在努力申請加入，雖然依舊困難，但在這兩年，有更多理念相近的國家與友邦，不斷堅定的支持我們加入。 尤其，不僅是美國支持台灣參與的訊號強烈，今年，跨國友台議會平台、歐洲地區「福爾摩沙俱樂部」共同主席領銜、包含歐洲議會在內，共有34國，1504位國會議員致函世界衛生組織，強力聲援台灣出席WHA及參與世衛的會議、機制與活動，這創下歐洲連署國家及議員人數的最高紀錄。 因為大家的團結努力，台灣在國際醫療和公共衛生領域，已經用行動展現我們有能力、也有意願提供協助，更獲得國際的強烈支持。而這幾年國際間，無論是互相捐助口罩、疫苗，「善的循環」都證明了國際間的相互合作，才能為全體人類謀求最大的保障。 從基層到國際，全球公共衛生需要所有人一起攜手努力，我要謝謝大家的團結努力，為了台灣的下一代，我們會更積極參與國際組織，和國際共同克服未來的公衛挑戰。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-19,06:15:36,Photo,17174,10281,4623,261,145,12,55,15,1563,219,https://www.facebook.com/100044017724738/posts/556576752486244,提升兒童醫療量能，給我們的小孩更好的照顧！ 今天，我來到新竹市，和 林智堅 市長為居家照護關懷中心夥伴加油打氣。在今天播放的母親節影片中，從小朋友與投入防疫工作的媽媽的對話，體會到媽媽在防疫工作與家庭間犧牲很多。 尤其，我在關心一位科長媽媽時，看見她忍不住落淚，第一線的醫療、護理跟防疫的工作同仁肩負起照顧確診者的工作，是很重要的安定人心的力量，真的辛苦了。 對於提升兒童的醫療量能，我們也必須持續提升。因此，我們中央和地方合作，持續推動各項強化兒童醫療照護的措施，包括：開設兒童視訊門診，也在全國22縣市，共有108家醫院，設置兒童就醫綠色通道。此外，我們也要： 🔺開啟兒科重症遠距會診平台 🔺要求全國18家醫學中心和4家兒童醫院，設置兒童專責ICU 🔺強化轉診調度機制，提升病房與病床的量能 我們也會請小兒感染的專家林奏延前部長召集專家小組，建立治療臨床指引和困難個案的諮詢，給我們的小朋友更好的照顧。 現在，兒童疫苗已經陸續到貨，可以提供給5到11歲兒童使用，12歲到17歲青少年的第三劑，預計最快下週三、5月25日開打，也提醒符合接種第四劑資格的朋友們，可以盡快去接種。 我要再次拜託大家，疫苗供應很足夠，請大家一定要配合防疫指引，一起來接種疫苗，提升台灣整體的疫苗覆蓋率，保護自己，也保護他人。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-18,06:08:24,Photo,16465,8308,5732,323,129,7,58,13,1341,554,https://www.facebook.com/100044017724738/posts/555894255887827,鼓勵公私部門建置關懷中心，彼此互相照顧、緩解醫護壓力！ 從國外的發展經驗來看，台灣正處於最後的關鍵時刻，確診人數逐漸進入高峰，後續趨緩，逐步回歸疫情前的正常生活。 除了既有防疫系統在第一線為我們把關，其他的社會部門如果能夠結合起來，主動提供單位內確診人員的關懷、服務，不僅可以緩解醫療前線的壓力，也可以讓確診者減少不安。 今天，我要求 民主進步黨，各級黨公職幹部以身作則，建置我們自己的#關懷中心 機制，透過黨的組織、服務系統，也結合各地基層醫療和服務單位，協助黨工、黨員，以及有需要幫助的民眾，能夠及時得到完整的防疫資訊和醫療指引，以及必要的物資，讓他們在確診時，不會手足無措，並且隨時得到關心和支持。 同樣的，我希望未來從政府機關到公營事業，並 #鼓勵私部門雇主響應，負起多一點照顧員工的責任，甚至透過「公私協力」的方式，一起照顧無固定雇主、小型公司行號的勞工朋友。 面對疫情的關鍵時刻，我們不只是要自主防疫，更希望能夠同事互助、同業互助。 我希望，這些由各機關和企業建置的關懷中心，能夠建立良好的通報體系，提供更完整的個人防疫指引和資訊。 最近，我們也有幾位確診的黨公職拍了影片，分享自己從確診到治療的經驗，也看到網路上許多朋友開始組成「康復者聯盟」，協助身邊的朋友走過不安的心情，分享即時的醫療跟防疫資訊。 大家互相協助，安定彼此的心情，也為醫護減壓，我相信這是克服疫情最正面的力量。 我們一起發揮「團結防疫、同心抗疫」的精神，挺過這波疫情，回到正常生活。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-05-17,07:55:30,Photo,24180,15771,6039,409,169,12,66,21,1347,346,https://www.facebook.com/100044017724738/posts/555225209288065,北北基桃大型篩檢站成立，謝謝所有醫護投入支援！ 我了解這段時間以來，隨著確診數量上升，大家對於PCR檢測有大量的需求，也常常遇到醫院預約額滿的情形。我們也持續努力解決這個問題。 經過執政團隊的協調，除了基層醫護支援社區篩檢，今天，北北基桃已經 #成立8個大型篩檢站，來減輕地方醫療院所的負擔，包括： 1️⃣基隆市：市民廣場（市立基隆醫院） 2️⃣台北市：自由廣場（台北榮總）、台大醫學院體育場（台大醫院）、市立體育場（評估中） 3️⃣新北市：汐止區公所（三總）、三重綜合體育館（三總松山）、板橋江子翠站（新北聯醫） 4️⃣桃園市：大園站（新國民醫院）、龍潭站（國軍桃總） 目前除了三重、汐止，各篩檢站也設置綠色通道，優先提供6歲以下幼兒及65歲以上長者「PCR採檢、醫生看診、拿藥」一次到位的服務，讓我們的長輩、小孩方便就醫。 我也要特別感謝所有投入的醫護、防疫人員，不分中央地方，以守護國民健康、完成防疫任務為目標，來協助支援任務，也讓我們在最短時間內，增加採檢的量能。 在疫情的關鍵階段，我們的目標一致，就是對抗疫情、守護台灣，我們會持續努力改善問題，緩解大家的焦慮不安，也請大家一起為我們的醫護人員加油。
